smoothness,grad_norm
0.5509411,0.035286266
1.6710862,0.23852322
1.6710166,0.048214827
1.5154966,0.1304838
0.42605367,0.012278416
1.6268526,0.19806042
1.4736693,0.07692298
2.4727736,0.31169033
1.37757,0.06107662
1.3997545,0.13929617
1.5359987,0.16063151
1.6607653,0.0976629
1.4091765,0.087599926
1.1840323,0.07597045
1.2383738,0.11517662
1.4591603,0.09955826
1.6362888,0.12909442
1.5110449,0.054099657
1.5352097,0.13218439
1.5163062,0.16892906
1.839045,0.1984688
1.4902427,0.004040335
1.5698634,0.096134864
1.9340698,0.120234475
1.6476843,0.09347498
2.107688,0.3142967
1.4274623,0.024601018
1.866561,0.05199166
1.6715,0.16209964
1.2811035,0.16427219
1.940965,0.13495281
1.1691318,0.10086875
0.61042804,0.07666804
1.2759101,0.026459435
1.8823284,0.18407394
1.7516689,0.10200848
1.6032314,0.21290982
1.3853418,0.015220608
1.3426865,0.013230507
0.7927833,0.09951032
1.1981908,0.07797696
1.6985304,0.11484028
1.5838485,0.18369877
1.6063364,0.12591732
1.8782296,0.0781747
1.1542454,0.0051543773
1.8409507,0.19482712
0.8886727,0.14948323
1.5539529,0.111237474
1.7112393,0.21865423
0.8749268,0.01476159
1.6549935,0.093185514
1.572109,0.067377366
1.5930804,0.15213042
0.90968823,0.13211212
1.2932605,0.15416215
1.4788933,0.055242807
2.1722515,0.2502237
1.021587,0.037243817
1.5193019,0.03726793
2.1112473,0.121529475
1.672656,0.13945109
1.450371,0.016057257
3.0525224,0.4520688
1.6298519,0.057580523
2.7744386,0.3947328
1.2871933,0.012556088
2.249705,0.31214777
1.9683748,0.020277565
2.247549,0.2752865
1.4400908,0.13890323
1.3465571,0.13351256
1.9197775,0.17083625
1.3902744,0.09440293
2.7398822,0.22061783
1.7143667,0.0057457383
1.1314095,0.104994126
1.5935923,0.10165927
