smoothness,grad_norm
1.6816261,0.062633224
1.9634427,0.10975149
1.9709752,0.0030353868
1.790327,0.005447235
1.5655483,0.052366287
1.7846793,0.19972405
1.7583559,0.11162324
1.7796314,0.045746308
1.9323406,0.10372056
1.8300344,0.11458876
1.7890029,0.010523531
1.8525889,0.08960431
1.7601374,0.10980601
1.9059662,0.028129218
1.5572183,0.055147845
1.2450415,0.07054882
1.3945705,0.20146756
1.7611735,0.1547114
1.4762628,0.10301779
1.0261961,0.12014458
1.7957455,0.07633251
1.6983181,0.0031692523
1.4483767,0.24861324
1.9239374,0.25159267
1.9176227,0.13810086
1.7197928,0.0077357874
0.95713663,0.082357414
1.1934147,0.2149403
1.3069004,0.19682106
1.6471347,0.20434736
1.5479659,0.021165082
1.6187882,0.096260935
1.6601297,0.091389716
1.4286997,0.11382193
1.0494125,0.077405564
0.41047442,0.06085866
1.636437,0.005952148
2.1760664,0.21978852
1.5806363,0.1895594
1.3647252,0.057156835
1.7009586,0.14884187
1.4195254,0.01605265
1.6232232,0.015177876
1.6654581,0.14255515
1.5711414,0.03400939
0.7957642,0.10073171
1.8669525,0.02245605
1.8185859,0.15395232
0.90147996,0.05719663
1.6652688,0.11416288
1.7134097,0.06060221
1.0297005,0.09023554
2.1388612,0.23346682
2.166141,0.27169272
3.9821832,0.39842266
1.83858,0.26259783
2.0580115,0.3329176
1.9752151,0.2798791
1.3686951,0.011037388
1.9032933,0.3731143
1.3192111,0.16141059
2.2769816,0.2573408
1.6518371,0.22620812
1.5022511,0.003689444
1.5876373,0.25016773
1.7095164,0.01115806
0.81310886,0.024019862
1.8950984,0.02319612
0.6364351,0.014599476
2.0312827,0.29963267
1.7192469,0.029520962
1.3512348,0.0038843276
1.910455,0.17420153
1.2704924,0.071579754
1.722233,0.10157585
1.6260551,0.040713545
1.2672274,0.10535938
2.2096047,0.42518806
